pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,842.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,842.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,842.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,842.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,842.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,842.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,842.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,842.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,842.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,842.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,842.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,842.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,842.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,842.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,842.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,842.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,842.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,842.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,842.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,842.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,842.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,842.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,842.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,842.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,842.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,842.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,842.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,842.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,842.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,842.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,842.64
